Gene ID,Genomic Location (Gene),Gene Name or Symbol
PF3D7_0102900,"Pf3D7_01_v3:128,569..131,554(-)",N/A
PF3D7_0103000,"Pf3D7_01_v3:131,609..134,133(-)",N/A
PF3D7_0103100,"Pf3D7_01_v3:134,155..140,371(-)",VPS51
PF3D7_0103200,"Pf3D7_01_v3:140,494..143,049(-)",NT4
PF3D7_0103300,"Pf3D7_01_v3:143,389..146,959(-)",N/A
PF3D7_0103400,"Pf3D7_01_v3:147,031..152,795(-)",N/A
PF3D7_0103500,"Pf3D7_01_v3:153,669..160,630(+)",N/A
PF3D7_0103600,"Pf3D7_01_v3:160,673..166,273(+)",PSH1
PF3D7_0103700,"Pf3D7_01_v3:166,497..168,687(+)",PSTK
PF3D7_0103800,"Pf3D7_01_v3:168,768..171,442(-)",ARP1
PF3D7_0103900,"Pf3D7_01_v3:172,470..175,055(+)",PIESP15
PF3D7_0104000,"Pf3D7_01_v3:175,609..176,376(+)",TRSP
PF3D7_0104100,"Pf3D7_01_v3:177,187..181,825(+)",N/A
PF3D7_0104200,"Pf3D7_01_v3:182,205..184,820(-)",N/A
PF3D7_0104300,"Pf3D7_01_v3:188,420..201,324(+)",UBP1
PF3D7_0104400,"Pf3D7_01_v3:201,354..204,250(+)",LytB
PF3D7_0104500,"Pf3D7_01_v3:204,368..205,612(-)",N/A
PF3D7_0104600,"Pf3D7_01_v3:205,812..210,273(+)",N/A
PF3D7_0104700,"Pf3D7_01_v3:210,870..213,005(+)",MFR2
PF3D7_0104800,"Pf3D7_01_v3:215,143..217,616(+)",NPT1
PF3D7_0104900,"Pf3D7_01_v3:218,517..218,824(-)",N/A
PF3D7_0105000,"Pf3D7_01_v3:218,894..219,223(-)",N/A
PF3D7_0105100,"Pf3D7_01_v3:220,727..221,928(+)",N/A
PF3D7_0105200,"Pf3D7_01_v3:222,086..224,501(-)",RAP1
PF3D7_0105300,"Pf3D7_01_v3:224,638..226,017(-)",CAP
PF3D7_0105400,"Pf3D7_01_v3:226,036..227,419(-)",N/A
PF3D7_0105400,"Pf3D7_01_v3:226,036..227,419(-)",N/A
PF3D7_0105500,"Pf3D7_01_v3:228,485..229,519(-)",N/A
PF3D7_0105600,"Pf3D7_01_v3:229,943..234,464(-)",N/A
PF3D7_0105700,"Pf3D7_01_v3:236,742..248,183(+)",N/A
PF3D7_0105800,"Pf3D7_01_v3:248,434..253,057(-)",N/A
PF3D7_0105900,"Pf3D7_01_v3:253,089..255,771(+)",N/A
PF3D7_0106000,"Pf3D7_01_v3:255,113..258,624(-)",N/A
PF3D7_0106100,"Pf3D7_01_v3:260,105..262,008(-)",N/A
PF3D7_0106200,"Pf3D7_01_v3:262,750..264,323(-)",N/A
PF3D7_0106300,"Pf3D7_01_v3:264,487..270,234(-)",ATP6
PF3D7_0106400,"Pf3D7_01_v3:272,296..273,701(+)",N/A
PF3D7_0106500,"Pf3D7_01_v3:274,094..278,747(+)",N/A
PF3D7_0106600,"Pf3D7_01_v3:279,115..280,014(+)",N/A
PF3D7_0106700,"Pf3D7_01_v3:280,595..285,875(+)",AARP2
PF3D7_0106800,"Pf3D7_01_v3:286,637..289,063(+)",RAB5c
PF3D7_0106900,"Pf3D7_01_v3:289,849..292,802(+)",IspD
PF3D7_0107000,"Pf3D7_01_v3:293,262..295,139(+)",CEN1
PF3D7_0107100,"Pf3D7_01_v3:295,177..296,959(-)",N/A
PF3D7_0107200,"Pf3D7_01_v3:297,189..299,513(+)",CCR4-3
PF3D7_0107300,"Pf3D7_01_v3:299,464..301,151(-)",N/A
PF3D7_0107400,"Pf3D7_01_v3:302,509..304,236(+)",ATPk
PF3D7_0107500,"Pf3D7_01_v3:303,437..311,928(-)",NCR1
PF3D7_0107600,"Pf3D7_01_v3:313,824..319,525(+)",eIK2
PF3D7_0107700,"Pf3D7_01_v3:320,168..321,508(+)",N/A
PF3D7_0107800,"Pf3D7_01_v3:321,757..326,180(+)",MRE11
PF3D7_0107900,"Pf3D7_01_v3:326,323..327,365(-)",N/A
PF3D7_0108000,"Pf3D7_01_v3:328,171..329,995(-)",N/A
PF3D7_0108100,"Pf3D7_01_v3:330,597..332,834(+)",N/A
PF3D7_0108300,"Pf3D7_01_v3:334,374..344,369(+)",ARP
PF3D7_0108400,"Pf3D7_01_v3:344,373..347,320(-)",N/A
PF3D7_0108400,"Pf3D7_01_v3:344,373..347,320(-)",N/A
PF3D7_0108500,"Pf3D7_01_v3:347,246..350,568(+)",N/A
PF3D7_0108600,"Pf3D7_01_v3:348,892..351,747(-)",N/A
PF3D7_0108700,"Pf3D7_01_v3:351,787..356,984(-)",PSOP24
PF3D7_0108800,"Pf3D7_01_v3:357,279..360,804(+)",N/A
PF3D7_0108900,"Pf3D7_01_v3:361,987..362,586(-)",N/A
PF3D7_0109000,"Pf3D7_01_v3:362,217..365,209(+)",PHIL1
PF3D7_0109100,"Pf3D7_01_v3:365,266..369,336(+)",CCp5
PF3D7_0109200,"Pf3D7_01_v3:369,251..370,907(-)",CFIM25
PF3D7_0109300,"Pf3D7_01_v3:371,146..373,063(-)",N/A
PF3D7_0109400,"Pf3D7_01_v3:373,864..375,683(-)",N/A
PF3D7_0109500,"Pf3D7_01_v3:376,164..377,704(-)",N/A
PF3D7_0109600,"Pf3D7_01_v3:377,795..378,599(-)",CoSP
PF3D7_0109700,"Pf3D7_01_v3:378,653..380,086(-)",RRP36
PF3D7_0109800,"Pf3D7_01_v3:380,254..382,568(+)",cPheRS
PF3D7_0109850,"Pf3D7_01_v3:383,092..386,632(+)",N/A
PF3D7_0109950,"Pf3D7_01_v3:386,708..388,186(+)",C2AP3
PF3D7_0110000,"Pf3D7_01_v3:388,192..389,559(+)",N/A
PF3D7_0110100,"Pf3D7_01_v3:388,887..392,185(-)",SELB
PF3D7_0110200,"Pf3D7_01_v3:392,323..393,620(+)",ERV1
PF3D7_0110300,"Pf3D7_01_v3:393,216..393,490(-)",N/A
PF3D7_0110400,"Pf3D7_01_v3:393,695..395,222(-)",RPB9
PF3D7_0110500,"Pf3D7_01_v3:396,580..403,838(+)",BDP3
PF3D7_0110600,"Pf3D7_01_v3:405,007..412,453(+)",PIP5K
PF3D7_0110700,"Pf3D7_01_v3:413,076..417,001(-)",CAF1C
PF3D7_0110800,"Pf3D7_01_v3:417,254..420,218(+)",N/A
PF3D7_0110900,"Pf3D7_01_v3:419,727..420,942(-)",AKLP1
PF3D7_0111000,"Pf3D7_01_v3:421,025..428,878(-)",N/A
PF3D7_0111200,"Pf3D7_01_v3:429,849..430,879(-)",N/A
PF3D7_0111300,"Pf3D7_01_v3:431,167..436,457(-)",N/A
PF3D7_0111400,"Pf3D7_01_v3:436,179..439,368(+)",GEXP19
PF3D7_0111500,"Pf3D7_01_v3:439,395..442,195(-)",N/A
PF3D7_0111600,"Pf3D7_01_v3:442,380..443,473(-)",N/A
PF3D7_0111700,"Pf3D7_01_v3:443,476..444,682(-)",N/A
PF3D7_0111800,"Pf3D7_01_v3:444,710..449,954(+)",N/A
PF3D7_0111900,"Pf3D7_01_v3:449,966..450,646(-)",N/A
PF3D7_0112000,"Pf3D7_01_v3:450,831..453,195(-)",TatD
PF3D7_0112100,"Pf3D7_01_v3:454,847..455,338(+)",PIMMS1
PF3D7_0112200,"Pf3D7_01_v3:463,764..471,891(+)",MRP1
PF3D7_0112300,"Pf3D7_01_v3:473,739..475,887(+)",N/A
PF3D7_0112500,"Pf3D7_01_v3:476,287..476,428(+)",N/A
PF3D7_0112700,"Pf3D7_01_v3:477,279..481,382(+)",N/A
PF3D7_0112800,"Pf3D7_01_v3:481,231..483,218(-)",N/A
PF3D7_0112900,"Pf3D7_01_v3:483,603..487,841(+)",N/A
PF3D7_0113000,"Pf3D7_01_v3:487,239..490,901(-)",GARP
PF3D7_0113100,"Pf3D7_01_v3:494,941..500,347(+)",SURF1.1
PF3D7_0113200,"Pf3D7_01_v3:500,888..503,795(-)",N/A
PF3D7_0113300,"Pf3D7_01_v3:504,339..507,459(-)",N/A
PF3D7_0113400,"Pf3D7_01_v3:507,977..510,158(-)",N/A
PF3D7_0113600,"Pf3D7_01_v3:512,086..517,855(+)",SURF1.2
PF3D7_0113700,"Pf3D7_01_v3:519,766..523,106(+)",HSP40
PF3D7_0113800,"Pf3D7_01_v3:526,530..536,562(+)",N/A
PF3D7_0113900,"Pf3D7_01_v3:536,783..538,156(-)",CBP1
PF3D7_0114000,"Pf3D7_01_v3:541,805..547,544(+)",EPF1
PF3D7_0114100,"Pf3D7_01_v3:547,245..548,669(-)",MC-2TM
PF3D7_0114200,"Pf3D7_01_v3:550,576..551,713(-)",EPF3
PF3D7_0114300,"Pf3D7_01_v3:552,640..553,797(+)",EPF4
PF3D7_0114400,"Pf3D7_01_v3:554,057..555,439(-)",VAR
PF3D7_0114500,"Pf3D7_01_v3:557,700..558,946(-)",N/A
PF3D7_0114600,"Pf3D7_01_v3:560,474..561,534(-)",N/A
PF3D7_0114700,"Pf3D7_01_v3:563,703..564,842(-)",RIF
PF3D7_0114750,"Pf3D7_01_v3:566,515..566,691(-)",N/A
PF3D7_0114800,"Pf3D7_01_v3:569,485..570,272(-)",N/A
PF3D7_0114900,"Pf3D7_01_v3:572,135..572,853(-)",N/A
PF3D7_0115000,"Pf3D7_01_v3:577,704..583,789(+)",SURF1.3
PF3D7_0115050,"Pf3D7_01_v3:584,722..584,867(+)",N/A
PF3D7_0115100,"Pf3D7_01_v3:587,391..588,394(+)",N/A
PF3D7_0115150,"Pf3D7_01_v3:589,386..589,994(-)",N/A
PF3D7_0115200,"Pf3D7_01_v3:591,849..593,187(+)",RIF
PF3D7_0115300,"Pf3D7_01_v3:595,102..596,273(+)",RIF
PF3D7_0115400,"Pf3D7_01_v3:598,465..599,472(+)",N/A
PF3D7_0115500,"Pf3D7_01_v3:600,692..601,992(+)",N/A
PF3D7_0115600,"Pf3D7_01_v3:604,162..605,531(+)",RIF
PF3D7_0115700,"Pf3D7_01_v3:607,390..614,893(-)",VAR
PF3D7_0200100,"Pf3D7_02_v3:25,232..31,168(+)",VAR
PF3D7_0200200,"Pf3D7_02_v3:33,030..34,259(-)",RIF
PF3D7_0200300,"Pf3D7_02_v3:35,927..37,249(-)",N/A
PF3D7_0200400,"Pf3D7_02_v3:38,287..39,303(-)",N/A
PF3D7_0200500,"Pf3D7_02_v3:41,515..42,858(-)",RIF
PF3D7_0200600,"Pf3D7_02_v3:45,286..46,558(-)",RIF
PF3D7_0200700,"Pf3D7_02_v3:48,923..50,147(-)",RIF
PF3D7_0200800,"Pf3D7_02_v3:51,842..53,055(-)",N/A
PF3D7_0200900,"Pf3D7_02_v3:54,254..55,255(-)",N/A
PF3D7_0201000,"Pf3D7_02_v3:57,344..58,421(-)",RIF
PF3D7_0201100,"Pf3D7_02_v3:60,107..60,319(-)",N/A
PF3D7_0201200,"Pf3D7_02_v3:63,157..64,376(+)",RIF
PF3D7_0201300,"Pf3D7_02_v3:66,529..67,545(+)",N/A
PF3D7_0201400,"Pf3D7_02_v3:69,088..69,771(+)",N/A
PF3D7_0201500,"Pf3D7_02_v3:72,155..76,714(-)",N/A
PF3D7_0201600,"Pf3D7_02_v3:76,725..79,448(-)",RLP1
PF3D7_0201700,"Pf3D7_02_v3:80,851..84,937(-)",N/A
PF3D7_0201800,"Pf3D7_02_v3:86,183..89,482(-)",KAHsp40
PF3D7_0201900,"Pf3D7_02_v3:90,205..100,157(-)",EMP3
PF3D7_0202000,"Pf3D7_02_v3:102,137..106,662(-)",KAHRP
PF3D7_0202100,"Pf3D7_02_v3:108,217..111,658(-)",LSAP2
PF3D7_0202200,"Pf3D7_02_v3:111,818..115,064(-)",PTP1
PF3D7_0202300,"Pf3D7_02_v3:117,033..118,455(+)",N/A
PF3D7_0202400,"Pf3D7_02_v3:118,835..125,090(+)",PTEF
PF3D7_0202500,"Pf3D7_02_v3:127,203..129,089(+)",ETRAMP2
PF3D7_0202600,"Pf3D7_02_v3:129,336..134,329(-)",N/A
PF3D7_0202600,"Pf3D7_02_v3:129,336..134,329(-)",N/A
PF3D7_0202700,"Pf3D7_02_v3:134,779..137,615(+)",OPP
PF3D7_0202800,"Pf3D7_02_v3:137,155..141,252(-)",N/A
PF3D7_0202900,"Pf3D7_02_v3:138,621..141,266(+)",DHHC12
PF3D7_0203000,"Pf3D7_02_v3:141,269..148,515(-)",ROPE
PF3D7_0203100,"Pf3D7_02_v3:148,914..157,296(-)",N/A
PF3D7_0203200,"Pf3D7_02_v3:157,937..159,891(-)",N/A
PF3D7_0203300,"Pf3D7_02_v3:160,393..161,450(+)",ERCC1
PF3D7_0203400,"Pf3D7_02_v3:161,491..163,864(-)",N/A
PF3D7_0203500,"Pf3D7_02_v3:164,269..164,340(+)",N/A
PF3D7_0203600,"Pf3D7_02_v3:165,912..168,559(+)",N/A
PF3D7_0203700,"Pf3D7_02_v3:168,580..170,767(-)",MAK16
PF3D7_0203800,"Pf3D7_02_v3:171,277..175,196(-)",N/A
PF3D7_0203900,"Pf3D7_02_v3:176,370..178,737(+)",N/A
PF3D7_0204000,"Pf3D7_02_v3:178,955..181,941(+)",CAPH2
PF3D7_0204100,"Pf3D7_02_v3:181,749..189,877(-)",N/A
PF3D7_0204200,"Pf3D7_02_v3:192,755..194,248(+)",SEC66
PF3D7_0204300,"Pf3D7_02_v3:194,272..197,151(-)",N/A
PF3D7_0204400,"Pf3D7_02_v3:197,153..198,043(-)",N/A
PF3D7_0204500,"Pf3D7_02_v3:198,353..199,613(-)",AspAT
PF3D7_0204600,"Pf3D7_02_v3:199,889..204,454(-)",N/A
PF3D7_0204700,"Pf3D7_02_v3:204,784..207,425(-)",HT1
PF3D7_0204800,"Pf3D7_02_v3:209,149..211,029(-)",N/A
PF3D7_0204900,"Pf3D7_02_v3:211,067..212,635(+)",COQ5
PF3D7_0205000,"Pf3D7_02_v3:212,672..214,714(-)",N/A
PF3D7_0205100,"Pf3D7_02_v3:214,838..217,843(-)",N/A
PF3D7_0205200,"Pf3D7_02_v3:217,882..218,907(-)",N/A
PF3D7_0205300,"Pf3D7_02_v3:219,690..222,256(+)",N/A
PF3D7_0205400,"Pf3D7_02_v3:222,830..225,455(+)",N/A
PF3D7_0205500,"Pf3D7_02_v3:225,212..226,438(-)",N/A
PF3D7_0205600,"Pf3D7_02_v3:227,756..230,583(+)",N/A
PF3D7_0205700,"Pf3D7_02_v3:230,768..232,631(+)",N/A
PF3D7_0205700,"Pf3D7_02_v3:230,768..232,631(+)",N/A
PF3D7_0205800,"Pf3D7_02_v3:232,642..233,918(-)",PH1
PF3D7_0205900,"Pf3D7_02_v3:234,461..239,124(+)",RPN1
PF3D7_0206000,"Pf3D7_02_v3:239,146..244,604(-)",RAD2
PF3D7_0206100,"Pf3D7_02_v3:244,645..248,513(+)",SufE
PF3D7_0206200,"Pf3D7_02_v3:248,880..251,521(+)",PAT
PF3D7_0206300,"Pf3D7_02_v3:252,394..262,443(+)",AROM
PF3D7_0206500,"Pf3D7_02_v3:262,727..268,003(-)",N/A
PF3D7_0206600,"Pf3D7_02_v3:268,187..270,646(-)",N/A
PF3D7_0206700,"Pf3D7_02_v3:271,374..274,711(+)",ADSL
PF3D7_0206800,"Pf3D7_02_v3:271,576..274,917(-)",MSP2
PF3D7_0206900,"Pf3D7_02_v3:274,946..276,712(-)",MSP5
PF3D7_0206900,"Pf3D7_02_v3:274,946..276,712(-)",MSP5
PF3D7_0207000,"Pf3D7_02_v3:276,725..279,258(-)",MSP4
PF3D7_0207100,"Pf3D7_02_v3:281,275..287,696(+)",N/A
PF3D7_0207200,"Pf3D7_02_v3:287,423..288,941(-)",ISCA1
PF3D7_0207300,"Pf3D7_02_v3:290,168..292,703(-)",SERA8
PF3D7_0207400,"Pf3D7_02_v3:293,896..297,980(-)",SERA7
PF3D7_0207500,"Pf3D7_02_v3:298,380..302,820(-)",SERA6
PF3D7_0207600,"Pf3D7_02_v3:303,409..307,376(-)",SERA5
PF3D7_0207700,"Pf3D7_02_v3:308,628..312,348(-)",SERA4
PF3D7_0207800,"Pf3D7_02_v3:312,990..316,944(-)",SERA3
PF3D7_0207900,"Pf3D7_02_v3:317,422..321,552(-)",SERA2
PF3D7_0208000,"Pf3D7_02_v3:322,329..326,390(-)",SERA1
PF3D7_0208100,"Pf3D7_02_v3:327,442..335,433(+)",N/A
PF3D7_0208200,"Pf3D7_02_v3:335,421..337,000(-)",KRR1
PF3D7_0208300,"Pf3D7_02_v3:337,310..343,223(+)",N/A
PF3D7_0208400,"Pf3D7_02_v3:342,081..351,139(-)",N/A
PF3D7_0208500,"Pf3D7_02_v3:351,650..354,043(+)",ACP
PF3D7_0208600,"Pf3D7_02_v3:354,341..356,448(+)",RRF1
PF3D7_0208700,"Pf3D7_02_v3:356,196..358,035(-)",N/A
PF3D7_0208800,"Pf3D7_02_v3:358,084..360,086(+)",N/A
PF3D7_0208900,"Pf3D7_02_v3:360,828..368,354(+)",P230p
PF3D7_0209000,"Pf3D7_02_v3:369,351..380,156(+)",P230
PF3D7_0209100,"Pf3D7_02_v3:380,935..384,245(-)",PATPL1
PF3D7_0209200,"Pf3D7_02_v3:384,529..386,885(-)",MTR3
PF3D7_0209300,"Pf3D7_02_v3:386,930..388,236(+)",IspF
PF3D7_0209400,"Pf3D7_02_v3:388,216..391,107(-)",N/A
PF3D7_0209500,"Pf3D7_02_v3:391,238..392,887(-)",N/A
PF3D7_0209600,"Pf3D7_02_v3:393,969..399,286(-)",N/A
PF3D7_0209700,"Pf3D7_02_v3:400,078..402,755(-)",N/A
PF3D7_0209800,"Pf3D7_02_v3:403,095..406,706(-)",UAP56
PF3D7_0209900,"Pf3D7_02_v3:407,900..408,438(+)",N/A
PF3D7_0210000,"Pf3D7_02_v3:409,983..411,199(+)",Sec61-gamma
PF3D7_0210100,"Pf3D7_02_v3:411,419..412,963(+)",RPL37A
PF3D7_0210100,"Pf3D7_02_v3:411,419..412,963(+)",RPL37A
PF3D7_0210200,"Pf3D7_02_v3:412,948..421,861(-)",N/A
PF3D7_0210300,"Pf3D7_02_v3:422,574..425,116(-)",N/A
PF3D7_0210400,"Pf3D7_02_v3:425,599..427,108(+)",N/A
PF3D7_0210500,"Pf3D7_02_v3:427,161..431,611(+)",N/A
PF3D7_0210600,"Pf3D7_02_v3:431,716..434,231(-)",CERLI1
PF3D7_0210700,"Pf3D7_02_v3:435,985..437,173(+)",SYN17
PF3D7_0210800,"Pf3D7_02_v3:437,342..439,708(-)",N/A
PF3D7_0210900,"Pf3D7_02_v3:441,381..443,570(-)",N/A
PF3D7_0211000,"Pf3D7_02_v3:443,824..444,608(+)",N/A
PF3D7_0211100,"Pf3D7_02_v3:451,526..455,367(+)",N/A
PF3D7_0211200,"Pf3D7_02_v3:455,265..456,900(-)",RAB5a
PF3D7_0211300,"Pf3D7_02_v3:456,907..458,616(-)",N/A
PF3D7_0211400,"Pf3D7_02_v3:458,932..461,640(-)",KASIII
PF3D7_0211500,"Pf3D7_02_v3:463,147..467,352(+)",N/A
PF3D7_0211600,"Pf3D7_02_v3:467,682..468,518(+)",ALG14
PF3D7_0211700,"Pf3D7_02_v3:469,408..474,167(+)",TKL1
PF3D7_0211800,"Pf3D7_02_v3:475,109..477,618(+)",AsnRS
PF3D7_0211900,"Pf3D7_02_v3:477,189..479,816(-)",N/A
PF3D7_0212000,"Pf3D7_02_v3:479,683..481,854(+)",N/A
PF3D7_0212100,"Pf3D7_02_v3:483,322..489,702(+)",N/A
PF3D7_0212200,"Pf3D7_02_v3:489,203..491,256(-)",N/A
PF3D7_0212300,"Pf3D7_02_v3:491,640..495,105(+)",ERF1
PF3D7_0212400,"Pf3D7_02_v3:494,337..507,898(-)",NUP390
PF3D7_0212500,"Pf3D7_02_v3:508,665..521,769(+)",NUP434
PF3D7_0212600,"Pf3D7_02_v3:522,339..524,405(+)",SPATR
PF3D7_0212700,"Pf3D7_02_v3:524,470..526,067(-)",N/A
PF3D7_0212800,"Pf3D7_02_v3:526,387..531,923(+)",MATE
PF3D7_0212900,"Pf3D7_02_v3:532,001..534,657(+)",ATEL1
PF3D7_0213000,"Pf3D7_02_v3:534,659..536,945(+)",N/A
PF3D7_0213100,"Pf3D7_02_v3:537,390..540,199(+)",SIS1
PF3D7_0213200,"Pf3D7_02_v3:539,809..541,065(-)",N/A
PF3D7_0213300,"Pf3D7_02_v3:541,071..542,094(-)",N/A
PF3D7_0213400,"Pf3D7_02_v3:540,403..543,807(+)",PK7
PF3D7_0213500,"Pf3D7_02_v3:543,700..546,217(-)",N/A
PF3D7_0213600,"Pf3D7_02_v3:546,482..555,294(-)",N/A
PF3D7_0213700,"Pf3D7_02_v3:556,774..558,250(+)",N/A
PF3D7_0213800,"Pf3D7_02_v3:558,585..560,594(+)",N/A
PF3D7_0213900,"Pf3D7_02_v3:560,872..565,395(-)",N/A
PF3D7_0214000,"Pf3D7_02_v3:565,669..568,518(+)",CCT8
PF3D7_0214100,"Pf3D7_02_v3:568,246..573,893(-)",SEC31
PF3D7_0214200,"Pf3D7_02_v3:574,898..576,521(-)",mRPL13
PF3D7_0214300,"Pf3D7_02_v3:577,433..586,702(+)",N/A
PF3D7_0214400,"Pf3D7_02_v3:586,717..589,640(-)",N/A
PF3D7_0214500,"Pf3D7_02_v3:590,110..591,752(+)",N/A
PF3D7_0214600,"Pf3D7_02_v3:593,374..600,035(+)",STK2
PF3D7_0214700,"Pf3D7_02_v3:599,425..601,740(-)",N/A
PF3D7_0214800,"Pf3D7_02_v3:603,261..609,873(+)",N/A
PF3D7_0214900,"Pf3D7_02_v3:609,924..616,306(+)",RON6
PF3D7_0215000,"Pf3D7_02_v3:615,813..621,692(-)",ACS9
PF3D7_0215100,"Pf3D7_02_v3:622,029..624,953(-)",N/A
PF3D7_0215200,"Pf3D7_02_v3:625,082..627,710(+)",N/A
PF3D7_0215300,"Pf3D7_02_v3:628,091..632,681(-)",ACS8
PF3D7_0215400,"Pf3D7_02_v3:634,417..639,395(-)",N/A
PF3D7_0215500,"Pf3D7_02_v3:639,847..643,411(+)",N/A
PF3D7_0215600,"Pf3D7_02_v3:642,807..644,902(-)",GET2
PF3D7_0215700,"Pf3D7_02_v3:645,368..650,460(+)",RPB2
PF3D7_0215800,"Pf3D7_02_v3:650,472..653,693(-)",ORC5
PF3D7_0215900,"Pf3D7_02_v3:654,918..656,840(-)",DHHC11
PF3D7_0216000,"Pf3D7_02_v3:657,770..664,734(+)",N/A
PF3D7_0216100,"Pf3D7_02_v3:664,805..668,532(-)",N/A
PF3D7_0216200,"Pf3D7_02_v3:668,745..670,058(-)",N/A
PF3D7_0216300,"Pf3D7_02_v3:670,210..675,095(+)",N/A
PF3D7_0216400,"Pf3D7_02_v3:675,368..678,010(+)",VPS45
PF3D7_0216500,"Pf3D7_02_v3:678,050..685,025(+)",N/A
PF3D7_0216600,"Pf3D7_02_v3:685,475..689,382(+)",N/A
PF3D7_0216700,"Pf3D7_02_v3:689,543..695,989(+)",ATG11
PF3D7_0216700,"Pf3D7_02_v3:689,543..695,989(+)",ATG11
PF3D7_0216800,"Pf3D7_02_v3:695,848..699,564(-)",N/A
PF3D7_0216900,"Pf3D7_02_v3:701,245..702,894(+)",N/A
PF3D7_0217000,"Pf3D7_02_v3:703,060..706,862(-)",N/A
PF3D7_0217100,"Pf3D7_02_v3:707,101..709,839(+)",N/A
PF3D7_0217200,"Pf3D7_02_v3:709,474..715,607(-)",N/A
PF3D7_0217300,"Pf3D7_02_v3:715,609..716,549(-)",AP2S
PF3D7_0217400,"Pf3D7_02_v3:717,227..719,177(+)",N/A
PF3D7_0217500,"Pf3D7_02_v3:719,266..723,617(+)",CDPK1
PF3D7_0217600,"Pf3D7_02_v3:723,183..730,639(-)",N/A
PF3D7_0217700,"Pf3D7_02_v3:731,101..733,231(-)",N/A
PF3D7_0217800,"Pf3D7_02_v3:733,477..734,855(+)",RPS26
PF3D7_0217900,"Pf3D7_02_v3:734,887..738,046(-)",N/A
PF3D7_0218000,"Pf3D7_02_v3:738,216..740,285(+)",RFC2
PF3D7_0218100,"Pf3D7_02_v3:740,884..742,775(+)",N/A
PF3D7_0218200,"Pf3D7_02_v3:742,842..746,913(-)",N/A
PF3D7_0218300,"Pf3D7_02_v3:747,303..749,586(-)",N/A
PF3D7_0218400,"Pf3D7_02_v3:749,749..751,772(-)",DDX47
PF3D7_0218500,"Pf3D7_02_v3:752,461..754,956(+)",SNRPD2
PF3D7_0218600,"Pf3D7_02_v3:755,057..763,428(+)",PNPLA4
PF3D7_0218700,"Pf3D7_02_v3:762,841..765,517(-)",PRP45
PF3D7_0218800,"Pf3D7_02_v3:766,390..767,015(-)",N/A
PF3D7_0218900,"Pf3D7_02_v3:767,584..767,743(-)",N/A
PF3D7_0219000,"Pf3D7_02_v3:767,977..768,058(-)",N/A
PF3D7_0219100,"Pf3D7_02_v3:769,194..771,126(+)",N/A
PF3D7_0219200,"Pf3D7_02_v3:771,928..773,349(+)",RPS30
PF3D7_0219300,"Pf3D7_02_v3:773,171..774,191(-)",N/A
PF3D7_0219400,"Pf3D7_02_v3:774,447..776,838(+)",N/A
PF3D7_0219500,"Pf3D7_02_v3:776,418..778,478(-)",N/A
PF3D7_0219600,"Pf3D7_02_v3:778,816..782,444(-)",RFC1
PF3D7_0219700,"Pf3D7_02_v3:783,271..784,917(-)",GEXP20
PF3D7_0219800,"Pf3D7_02_v3:786,298..790,454(-)",N/A
PF3D7_0219900,"Pf3D7_02_v3:790,390..792,432(+)",N/A
PF3D7_0220000,"Pf3D7_02_v3:794,978..801,981(+)",LSA3
